Survived,Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,UUID
0,3,Mr. Francesco Celotti,male,24,0,0,8.05,a9abad2a-91d3-11e9-af94-a45e60d235db
0,3,Mr. Emil Christmann,male,29,0,0,8.05,a9abad84-91d3-11e9-af94-a45e60d235db
0,3,Mr. Paul Edvin Andreasson,male,20,0,0,7.8542,a9abadd4-91d3-11e9-af94-a45e60d235db
0,1,Mr. Herbert Fuller Chaffee,male,46,1,0,61.175,a9abae2e-91d3-11e9-af94-a45e60d235db
0,3,Mr. Bertram Frank Dean,male,26,1,2,20.575,a9abaf6e-91d3-11e9-af94-a45e60d235db
0,3,Mr. Daniel Coxon,male,59,0,0,7.25,a9abafdc-91d3-11e9-af94-a45e60d235db
0,3,Mr. Charles Joseph Shorney,male,22,0,0,8.05,a9abb036-91d3-11e9-af94-a45e60d235db
0,1,Mr. George B Goldschmidt,male,71,0,0,34.6542,a9abb090-91d3-11e9-af94-a45e60d235db
1,1,Mr. William Bertram Greenfield,male,23,0,1,63.3583,a9abb0ea-91d3-11e9-af94-a45e60d235db
1,2,Mrs. John T (Ada Julia Bone) Doling,female,34,0,1,23,a9abb144-91d3-11e9-af94-a45e60d235db
0,2,Mr. Sinai Kantor,male,34,1,0,26,a9abb194-91d3-11e9-af94-a45e60d235db
0,3,Miss. Matilda Petranec,female,28,0,0,7.8958,a9abb1ee-91d3-11e9-af94-a45e60d235db
0,3,Mr. Pastcho Petroff,male,29,0,0,7.8958,a9abb23e-91d3-11e9-af94-a45e60d235db
0,1,Mr. Richard Frasar White,male,21,0,1,77.2875,a9abb298-91d3-11e9-af94-a45e60d235db
0,3,Mr. Gustaf Joel Johansson,male,33,0,0,8.6542,a9abb2f2-91d3-11e9-af94-a45e60d235db
0,3,Mr. Anders Vilhelm Gustafsson,male,37,2,0,7.925,a9abb342-91d3-11e9-af94-a45e60d235db
0,3,Mr. Stoytcho Mionoff,male,28,0,0,7.8958,a9abb39c-91d3-11e9-af94-a45e60d235db
1,3,Miss. Anna Kristine Salkjelsvik,female,21,0,0,7.65,a9abb3f6-91d3-11e9-af94-a45e60d235db
1,3,Mr. Albert Johan Moss,male,29,0,0,7.775,a9abb446-91d3-11e9-af94-a45e60d235db
0,3,Mr. Tido Rekic,male,38,0,0,7.8958,a9abb496-91d3-11e9-af94-a45e60d235db
1,3,Miss. Bertha Moran,female,28,1,0,24.15,a9abb4f0-91d3-11e9-af94-a45e60d235db
0,1,Mr. Walter Chamberlain Porter,male,47,0,0,52,a9abb540-91d3-11e9-af94-a45e60d235db
0,3,Miss. Hileni Zabour,female,14.5,1,0,14.4542,a9abb59a-91d3-11e9-af94-a45e60d235db
0,3,Mr. David John Barton,male,22,0,0,8.05,a9abb5f4-91d3-11e9-af94-a45e60d235db
0,3,Miss. Katriina Jussila,female,20,1,0,9.825,a9abb644-91d3-11e9-af94-a45e60d235db
0,3,Miss. Malake Attalah,female,17,0,0,14.4583,a9abb69e-91d3-11e9-af94-a45e60d235db
0,3,Mr. Edvard Pekoniemi,male,21,0,0,7.925,a9abb6ee-91d3-11e9-af94-a45e60d235db
0,3,Mr. Patrick Connors,male,70.5,0,0,7.75,a9abb748-91d3-11e9-af94-a45e60d235db
0,2,Mr. William John Robert Turpin,male,29,1,0,21,a9abb798-91d3-11e9-af94-a45e60d235db
0,1,Mr. Quigg Edmond Baxter,male,24,0,1,247.5208,a9abb7f2-91d3-11e9-af94-a45e60d235db
0,3,Miss. Ellis Anna Maria Andersson,female,2,4,2,31.275,a9abb84c-91d3-11e9-af94-a45e60d235db
0,2,Mr. Stanley George Hickman,male,21,2,0,73.5,a9abb89c-91d3-11e9-af94-a45e60d235db
0,3,Mr. Leonard Charles Moore,male,19,0,0,8.05,a9abb8f6-91d3-11e9-af94-a45e60d235db
0,2,Mr. Nicholas Nasser,male,32.5,1,0,30.0708,a9abb946-91d3-11e9-af94-a45e60d235db
1,2,Miss. Susan Webber,female,32.5,0,0,13,a9abb9a0-91d3-11e9-af94-a45e60d235db
0,1,Mr. Percival Wayland White,male,54,0,1,77.2875,a9abb9f0-91d3-11e9-af94-a45e60d235db
1,3,Master. Elias Nicola-Yarred,male,12,1,0,11.2417,a9abba4a-91d3-11e9-af94-a45e60d235db
0,3,Mr. Martin McMahon,male,19,0,0,7.75,a9abbaa4-91d3-11e9-af94-a45e60d235db
1,3,Mr. Fridtjof Arne Madsen,male,24,0,0,7.1417,a9abbaf4-91d3-11e9-af94-a45e60d235db
1,3,Miss. Anna Peter,female,2,1,1,22.3583,a9abbb4e-91d3-11e9-af94-a45e60d235db
0,3,Mr. Johan Ekstrom,male,45,0,0,6.975,a9abbb9e-91d3-11e9-af94-a45e60d235db
0,3,Mr. Jozef Drazenoic,male,33,0,0,7.8958,a9abbbee-91d3-11e9-af94-a45e60d235db
0,3,Mr. Domingos Fernandeo Coelho,male,20,0,0,7.05,a9abbc48-91d3-11e9-af94-a45e60d235db
0,3,Mrs. Alexander A (Grace Charity Laury) Robins,female,47,1,0,14.5,a9abbca2-91d3-11e9-af94-a45e60d235db
1,2,Mrs. Leopold (Mathilde Francoise Pede) Weisz,female,29,1,0,26,a9abbdd8-91d3-11e9-af94-a45e60d235db
0,2,Mr. Samuel James Hayden Sobey,male,25,0,0,13,a9abbe8c-91d3-11e9-af94-a45e60d235db
0,2,Mr. Emile Richard,male,23,0,0,15.0458,a9abbf36-91d3-11e9-af94-a45e60d235db
1,1,Miss. Helen Monypeny Newsom,female,19,0,2,26.2833,a9abbffe-91d3-11e9-af94-a45e60d235db
0,1,Mr. Jacques Heath Futrelle,male,37,1,0,53.1,a9abc0b2-91d3-11e9-af94-a45e60d235db
0,3,Mr. Olaf Elon Osen,male,16,0,0,9.2167,a9abc12a-91d3-11e9-af94-a45e60d235db
0,1,Mr. Victor Giglio,male,24,0,0,79.2,a9abc184-91d3-11e9-af94-a45e60d235db
0,3,Mrs. Joseph (Sultana) Boulos,female,40,0,2,15.2458,a9abc1de-91d3-11e9-af94-a45e60d235db
1,3,Miss. Anna Sofia Nysten,female,22,0,0,7.75,a9abc238-91d3-11e9-af94-a45e60d235db
1,3,Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,female,24,1,0,15.85,a9abc292-91d3-11e9-af94-a45e60d235db
0,3,Mr. Jeremiah Burke,male,19,0,0,6.75,a9abc2ec-91d3-11e9-af94-a45e60d235db
0,2,Mr. Edgardo Samuel Andrew,male,18,0,0,11.5,a9abc346-91d3-11e9-af94-a45e60d235db
0,2,Mr. Joseph Charles Nicholls,male,19,1,1,36.75,a9abc3d2-91d3-11e9-af94-a45e60d235db
1,3,Mr. August Edvard Andersson,male,27,0,0,7.7958,a9abc436-91d3-11e9-af94-a45e60d235db
0,3,Miss. Robina Maggie Ford,female,9,2,2,34.375,a9abc490-91d3-11e9-af94-a45e60d235db
0,2,Mr. Michel Navratil,male,36.5,0,2,26,a9abc5bc-91d3-11e9-af94-a45e60d235db
0,2,Rev. Thomas Roussel Davids Byles,male,42,0,0,13,a9abc706-91d3-11e9-af94-a45e60d235db
0,2,Rev. Robert James Bateman,male,51,0,0,12.525,a9abc77e-91d3-11e9-af94-a45e60d235db
1,1,Mrs. Thomas (Edith Wearne) Pears,female,22,1,0,66.6,a9abc7ec-91d3-11e9-af94-a45e60d235db
0,3,Mr. Alfonzo Meo,male,55.5,0,0,8.05,a9abc85a-91d3-11e9-af94-a45e60d235db
0,3,Mr. Austin Blyler van Billiard,male,40.5,0,2,14.5,a9abc8be-91d3-11e9-af94-a45e60d235db
0,3,Mr. Ole Martin Olsen,male,27,0,0,7.3125,a9abc918-91d3-11e9-af94-a45e60d235db
0,1,Mr. Charles Duane Williams,male,51,0,1,61.3792,a9abc99a-91d3-11e9-af94-a45e60d235db
1,3,Miss. Katherine Gilnagh,female,16,0,0,7.7333,a9abca94-91d3-11e9-af94-a45e60d235db
0,3,Mr. Harry Corn,male,30,0,0,8.05,a9abcc2e-91d3-11e9-af94-a45e60d235db
0,3,Mr. Mile Smiljanic,male,37,0,0,8.6625,a9abcd28-91d3-11e9-af94-a45e60d235db
0,3,Master. Thomas Henry Sage,male,5,8,2,69.55,a9abcdd2-91d3-11e9-af94-a45e60d235db
0,3,Mr. John Hatfield Cribb,male,44,0,1,16.1,a9abce7c-91d3-11e9-af94-a45e60d235db
1,2,Mrs. James (Elizabeth Inglis Milne) Watt,female,40,0,0,15.75,a9abd8ea-91d3-11e9-af94-a45e60d235db
0,3,Mr. John Viktor Bengtsson,male,26,0,0,7.775,a9abd9d0-91d3-11e9-af94-a45e60d235db
0,3,Mr. Jovo Calic,male,17,0,0,8.6625,a9abda48-91d3-11e9-af94-a45e60d235db
0,3,Master. Eino Viljami Panula,male,1,4,1,39.6875,a9abdaac-91d3-11e9-af94-a45e60d235db
1,3,Master. Frank John William Goldsmith,male,9,0,2,20.525,a9abdb10-91d3-11e9-af94-a45e60d235db
1,1,Mrs. (Edith Martha Bowerman) Chibnall,female,48,0,1,55,a9abdb7e-91d3-11e9-af94-a45e60d235db
0,3,Mrs. William (Anna Bernhardina Karlsson) Skoog,female,45,1,4,27.9,a9abdbe2-91d3-11e9-af94-a45e60d235db
0,1,Mr. John D Baumann,male,60,0,0,25.925,a9abdc3c-91d3-11e9-af94-a45e60d235db
0,3,Mr. Lee Ling,male,28,0,0,56.4958,a9abdc96-91d3-11e9-af94-a45e60d235db
0,1,Mr. Wyckoff Van der hoef,male,61,0,0,33.5,a9abdcf0-91d3-11e9-af94-a45e60d235db
0,3,Master. Arthur Rice,male,4,4,1,29.125,a9abdd4a-91d3-11e9-af94-a45e60d235db
1,3,Miss. Eleanor Ileen Johnson,female,1,1,1,11.1333,a9abdd9a-91d3-11e9-af94-a45e60d235db
0,3,Mr. Antti Wilhelm Sivola,male,21,0,0,7.925,a9abddf4-91d3-11e9-af94-a45e60d235db
0,1,Mr. James Clinch Smith,male,56,0,0,30.6958,a9abde4e-91d3-11e9-af94-a45e60d235db
0,3,Mr. Klas Albin Klasen,male,18,1,1,7.8542,a9abdea8-91d3-11e9-af94-a45e60d235db
0,3,Master. Henry Forbes Lefebre,male,5,3,1,25.4667,a9abdef8-91d3-11e9-af94-a45e60d235db
0,1,Miss. Ann Elizabeth Isham,female,50,0,0,28.7125,a9abdf52-91d3-11e9-af94-a45e60d235db
0,2,Mr. Reginald Hale,male,30,0,0,13,a9abdfac-91d3-11e9-af94-a45e60d235db
0,3,Mr. Lionel Leonard,male,36,0,0,0,a9abe006-91d3-11e9-af94-a45e60d235db
0,3,Miss. Constance Gladys Sage,female,8,8,2,69.55,a9abe056-91d3-11e9-af94-a45e60d235db
0,2,Mr. Rene Pernot,male,39,0,0,15.05,a9abe0b0-91d3-11e9-af94-a45e60d235db
0,3,Master. Clarence Gustaf Hugo Asplund,male,9,4,2,31.3875,a9abe10a-91d3-11e9-af94-a45e60d235db
1,2,Master. Richard F Becker,male,1,2,1,39,a9abe164-91d3-11e9-af94-a45e60d235db
1,3,Miss. Luise Gretchen Kink-Heilmann,female,4,0,2,22.025,a9abe1be-91d3-11e9-af94-a45e60d235db
0,1,Mr. Hugh Roscoe Rood,male,39,0,0,50,a9abe218-91d3-11e9-af94-a45e60d235db
1,3,Mrs. Thomas (Johanna Godfrey) O'Brien,female,26,1,0,15.5,a9abe272-91d3-11e9-af94-a45e60d235db
1,1,Mr. Charles Hallace Romaine,male,45,0,0,26.55,a9abe2cc-91d3-11e9-af94-a45e60d235db
0,3,Mr. John Bourke,male,40,1,1,15.5,a9abe326-91d3-11e9-af94-a45e60d235db
0,3,Mr. Stjepan Turcin,male,36,0,0,7.8958,a9abe40c-91d3-11e9-af94-a45e60d235db
1,2,Mrs. (Rosa) Pinsky,female,32,0,0,13,a9abe484-91d3-11e9-af94-a45e60d235db
0,2,Mr. William Carbines,male,19,0,0,13,a9abe4d4-91d3-11e9-af94-a45e60d235db
1,3,Miss. Carla Christine Nielsine Andersen-Jensen,female,19,1,0,7.8542,a9abe52e-91d3-11e9-af94-a45e60d235db
1,2,Master. Michel M Navratil,male,3,1,1,26,a9abe592-91d3-11e9-af94-a45e60d235db
1,1,Mrs. James Joseph (Margaret Tobin) Brown,female,44,0,0,27.7208,a9abe5ec-91d3-11e9-af94-a45e60d235db
1,1,Miss. Elise Lurette,female,58,0,0,146.5208,a9abe646-91d3-11e9-af94-a45e60d235db
0,3,Mr. Robert Mernagh,male,28,0,0,7.75,a9abe6a0-91d3-11e9-af94-a45e60d235db
0,3,Mr. Karl Siegwart Andreas Olsen,male,42,0,1,8.4042,a9abe6f0-91d3-11e9-af94-a45e60d235db
1,3,Miss. Margaret Madigan,female,21,0,0,7.75,a9abe74a-91d3-11e9-af94-a45e60d235db
0,2,Miss. Henriette Yrois,female,24,0,0,13,a9abe7a4-91d3-11e9-af94-a45e60d235db
0,3,Mr. Nestor Cyriel Vande Walle,male,28,0,0,9.5,a9abe7fe-91d3-11e9-af94-a45e60d235db
0,3,Mr. Frederick Sage,male,17,8,2,69.55,a9abe84e-91d3-11e9-af94-a45e60d235db
0,3,Mr. Jakob Alfred Johanson,male,34,0,0,6.4958,a9abe8a8-91d3-11e9-af94-a45e60d235db
0,3,Mr. Gerious Youseff,male,45.5,0,0,7.225,a9abe902-91d3-11e9-af94-a45e60d235db
1,3,Mr. Gurshon Cohen,male,18,0,0,8.05,a9abe952-91d3-11e9-af94-a45e60d235db
0,3,Miss. Telma Matilda Strom,female,2,0,1,10.4625,a9abe9ac-91d3-11e9-af94-a45e60d235db
0,3,Mr. Karl Alfred Backstrom,male,32,1,0,15.85,a9abea06-91d3-11e9-af94-a45e60d235db
1,3,Mr. Nassef Cassem Albimona,male,26,0,0,18.7875,a9abea56-91d3-11e9-af94-a45e60d235db
1,3,Miss. Helen Carr,female,16,0,0,7.75,a9abeab0-91d3-11e9-af94-a45e60d235db
1,1,Mr. Henry Blank,male,40,0,0,31,a9abeb00-91d3-11e9-af94-a45e60d235db
0,3,Mr. Ahmed Ali,male,24,0,0,7.05,a9abeb5a-91d3-11e9-af94-a45e60d235db
1,2,Miss. Clear Annie Cameron,female,35,0,0,21,a9abebaa-91d3-11e9-af94-a45e60d235db
0,3,Mr. John Henry Perkin,male,22,0,0,7.25,a9abec04-91d3-11e9-af94-a45e60d235db
0,2,Mr. Hans Kristensen Givard,male,30,0,0,13,a9abec54-91d3-11e9-af94-a45e60d235db
0,3,Mr. Philip Kiernan,male,22,1,0,7.75,a9abecae-91d3-11e9-af94-a45e60d235db
1,1,Miss. Madeleine Newell,female,31,1,0,113.275,a9abecfe-91d3-11e9-af94-a45e60d235db
1,3,Miss. Eliina Honkanen,female,27,0,0,7.925,a9abed58-91d3-11e9-af94-a45e60d235db
0,2,Mr. Sidney Samuel Jacobsohn,male,42,1,0,27,a9abeda8-91d3-11e9-af94-a45e60d235db
1,1,Miss. Albina Bazzani,female,32,0,0,76.2917,a9abee02-91d3-11e9-af94-a45e60d235db
0,2,Mr. Walter Harris,male,30,0,0,10.5,a9abee5c-91d3-11e9-af94-a45e60d235db
1,3,Mr. Victor Francis Sunderland,male,16,0,0,8.05,a9abeeac-91d3-11e9-af94-a45e60d235db
0,2,Mr. James H Bracken,male,27,0,0,13,a9abef06-91d3-11e9-af94-a45e60d235db
0,3,Mr. George Henry Green,male,51,0,0,8.05,a9abef56-91d3-11e9-af94-a45e60d235db
0,3,Mr. Christo Nenkoff,male,22,0,0,7.8958,a9abefb0-91d3-11e9-af94-a45e60d235db
1,1,Mr. Frederick Maxfield Hoyt,male,38,1,0,90,a9abf000-91d3-11e9-af94-a45e60d235db
0,3,Mr. Karl Ivar Sven Berglund,male,22,0,0,9.35,a9abf05a-91d3-11e9-af94-a45e60d235db
1,2,Mr. William John Mellors,male,19,0,0,10.5,a9abf0b4-91d3-11e9-af94-a45e60d235db
0,3,Mr. John Hall Lovell,male,20.5,0,0,7.25,a9abf104-91d3-11e9-af94-a45e60d235db
0,2,Mr. Arne Jonas Fahlstrom,male,18,0,0,13,a9abf15e-91d3-11e9-af94-a45e60d235db
0,3,Miss. Mathilde Lefebre,female,12,3,1,25.4667,a9abf1ae-91d3-11e9-af94-a45e60d235db
1,1,Mrs. Henry Birkhardt (Irene Wallach) Harris,female,35,1,0,83.475,a9abf208-91d3-11e9-af94-a45e60d235db
0,3,Mr. Bengt Edvin Larsson,male,29,0,0,7.775,a9abf262-91d3-11e9-af94-a45e60d235db
0,2,Mr. Ernst Adolf Sjostedt,male,59,0,0,13.5,a9abf2bc-91d3-11e9-af94-a45e60d235db
1,3,Miss. Lillian Gertrud Asplund,female,5,4,2,31.3875,a9abf30c-91d3-11e9-af94-a45e60d235db
0,2,Mr. Robert William Norman Leyson,male,24,0,0,10.5,a9abf366-91d3-11e9-af94-a45e60d235db
0,3,Miss. Alice Phoebe Harknett,female,21,0,0,7.55,a9abf3c0-91d3-11e9-af94-a45e60d235db
0,2,Mr. Stephen Hold,male,44,1,0,26,a9abf41a-91d3-11e9-af94-a45e60d235db
1,2,Miss. Marjorie Collyer,female,8,0,2,26.25,a9abf46a-91d3-11e9-af94-a45e60d235db
